0,1,2
81414,"[81414, 82202, 116336, 171884, 196525, 196526, 198980, 273181]",47
89824,"[83574, 83575, 83641, 89824, 160773, 215397, 219859, 251891, 251892, 251893, 259258, 274147]",45
237295,"[199684, 199790, 200464, 200643, 201581, 201582, 201583, 203388, 204121, 204717, 204833, 215398, 229275, 232597, 237167, 237295, 237307, 246122, 246337, 247005, 248940, 248941, 250037, 250568, 251399, 251885, 252037, 252045, 259254, 259909, 259910]",9533
246441,"[199789, 200463, 201087, 201557, 201560, 201561, 201566, 201580, 204114, 204115, 204116, 204136, 204739, 204740, 204830, 204832, 204835, 204838, 214336, 215392, 215404, 222029, 232703, 237168, 237169, 237293, 237294, 246121, 246441, 247004, 248945, 248947, 250567, 252388, 259912, 288981]",8389
226802,"[199956, 205678, 208948, 210387, 210933, 211335, 212003, 212011, 224751, 226802, 227743, 236871]",3723
200646,"[200640, 200645, 200646, 200663, 200664, 200759, 201081, 201558, 201579, 202544, 202545, 203137, 204122, 204123, 204124, 204715, 204834, 204839, 209118, 209122, 212883, 215406, 219108, 219793, 221482, 222027, 222426, 229274, 232252, 235567, 237265, 237268, 237298, 246119, 246323, 247343, 248184, 250036, 250569, 252032, 258269, 259911, 275094]",13162
204831,"[201556, 203387, 204137, 204831, 209016, 214337, 215391, 215405, 250570, 274719]",1133
204842,"[204117, 204842, 231509, 232492, 252643, 278166]",153
219073,"[204731, 205171, 219073, 263929]",28
205170,"[204732, 205170, 263918, 263927]",106
215408,"[204733, 204843, 215408, 264351, 271290, 274702]",78
226830,"[205676, 208093, 210375, 211019, 212001, 212002, 226830, 227777, 236663, 255035, 256989]",2688
226804,"[205677, 208958, 209015, 210353, 210932, 212004, 224752, 226804, 227744, 256988, 266726, 278982]",3899
226803,"[208959, 226803]",580
215409,"[215409, 217833, 219974, 230860, 230861, 232455]",175
217092,"[217092, 263938]",24
227152,[227152],113
246671,[246671],59
250268,"[247496, 248265, 248376, 248378, 248392, 250266, 250268, 250269, 251227, 251228, 251444, 263039, 263945, 274750, 275232, 275233, 279275, 279276, 288716, 289056]",1003
250267,"[250267, 267136, 270493]",52
267819,"[252988, 254790, 257740, 262795, 262951, 267819]",263
