0,1,2
123082,"[114824, 9237, 9252, 19310, 123082, 130661, 151350, 155407, 181321, 199305, 204165, 232693, 237301, 259735, 276745]",1909
130884,"[118691, 118692, 130654, 130884]",650
124723,"[122378, 122379, 124722, 124723, 125779]",434
277390,"[125558, 3818, 124724, 158825, 160242, 235545, 247272, 277390]",756
201085,"[130995, 131321, 201085, 279181]",689
153795,"[130300, 130321, 150784, 151314, 152640, 153795, 155477, 158821, 158822, 158823, 158824, 158829, 160240, 160241, 160243, 160244, 160245, 172699, 199776, 215257, 220635, 234439, 235456, 235458, 235780, 235781, 235782, 247278, 252386, 277386, 277387, 277388, 277389, 277422, 279013, 277990]",4848
207608,[207608],316
230825,"[113498, 131869, 157754, 230825]",18
234670,"[234670, 260207, 276617]",226
246493,"[3816, 3833, 81066, 186507, 246493, 247533, 277551]",178
264724,[264724],26
268119,[268119],41
1406,"[1406, 77541]",111
19247,"[1730, 14779, 14801, 18518, 18760, 19247, 19355, 83581, 117496]",928
14770,"[14593, 14770]",21
19318,"[14818, 17287, 19318, 251502]",260
246494,"[10765, 17204, 92826, 122036, 122550, 127781, 246494, 279398]",79
18525,[18525],14
19258,"[17304, 18786, 19258, 181388, 203181]",372
19268,"[18555, 19268, 83613, 203154, 227474, 274966]",246
19320,"[14819, 19320]",154
19321,[19321],65
19336,"[18622, 19336]",73
19395,"[18799, 19395]",45
35244,[35244],109
35247,"[35247, 36029, 36544, 82545]",335
36546,[36546],81
37245,[37245],40
37974,[37974],34
54261,"[54261, 104364, 129713, 226194]",597
54295,"[54295, 129066]",180
77668,"[77573, 77668, 175346, 179962]",30
94358,"[18586, 77574, 77665, 81371, 94358, 179948, 252362, 264989, 275803]",154
94368,"[77670, 94368]",62
101157,"[38700, 101157, 130187]",260
104361,"[35212, 104361]",148
116885,"[18591, 116885]",644
117560,[117560],129
131379,"[131379, 174019, 236984, 262146, 274926]",414
153274,[153274],109
154078,"[66444, 83580, 152482, 154078, 155346]",768
155829,"[155829, 262147]",23
161004,"[117556, 161004, 181380, 274950]",304
161011,"[14824, 18603, 102937, 161011]",482
175360,[175360],20
203074,"[14582, 203074]",10
203193,"[203081, 203083, 203193, 251492]",14
226196,"[51669, 226196]",96
226219,[226219],13
227015,"[35208, 51668, 99700, 225627, 227015]",349
227018,"[35209, 39253, 227018, 227960]",181
227025,[227025],141
